snapshot_date;type;brand;model;version_raw;manufacture_year;model_year;price;version
2025-08-25;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.
2025-08-25;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;RENEGADE LONGITUDE 1.3 flex aut.
2025-08-25;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;ARGO DRIVE 1.0 flex mec.
2025-08-25;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;ARGO DRIVE 1.0 flex mec.
2025-08-25;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.
2025-08-25;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;NIVUS HIGHLINE 1.0 flex aut.
2025-08-25;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;ARGO DRIVE 1.0 flex mec.
2025-08-25;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;MOBI LIKE 1.0 flex mec.
2025-08-25;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.
2025-08-25;pick-up;fiat;strada;strada endurance cp flex 1.3;2023;2024;80990;STRADA ENDURANCE CP FLEX 1.3 flex mec.
2025-08-25;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;ARGO DRIVE 1.0 flex mec.
2025-08-25;suv;chevrolet;tracker;tracker lt 1.0;2023;2024;104990;TRACKER LT 1.0 flex aut.
2025-08-25;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;HB20 COMFORT PLUS FLEX 1.0 flex mec.
2025-08-25;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.
2025-08-25;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;POLO 1.0 flex mec.
2025-08-25;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;HB20 COMFORT PLUS FLEX 1.0 flex mec.
2025-08-25;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;T-CROSS COMFORTLINE 1.0 flex aut.
2025-08-25;utilitario;fiat;fiorino;fiorino endurance 1.4;2023;2024;91490;FIORINO ENDURANCE 1.4 flex mec.
2025-08-25;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;NIVUS HIGHLINE 1.0 flex aut.
2025-08-25;suv;jeep;renegade;renegade longitude 1.3;2023;2024;112990;RENEGADE LONGITUDE 1.3 flex aut.
2025-08-25;suv;volkswagen;t-cross;t-cross comfortline 1.0;2023;2024;117990;T-CROSS COMFORTLINE 1.0 flex aut.
2025-08-25;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;MOBI LIKE 1.0 flex mec.
2025-08-25;utilitario;fiat;fiorino;fiorino endurance 1.4 evo flex 2p c/ar;2023;2024;91490;FIORINO ENDURANCE 1.4 EVO FLEX 2P C/AR flex mec.
2025-08-25;suv;volkswagen;nivus;nivus highline 1.0;2023;2024;116990;NIVUS HIGHLINE 1.0 flex aut.
2025-08-25;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;HB20 COMFORT PLUS FLEX 1.0 flex mec.
2025-08-25;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;67990;HB20 SENSE PLUS FLEX 1.0 flex mec.
2025-08-25;hatch;fiat;mobi;mobi like 1.0;2023;2024;56990;MOBI LIKE 1.0 flex mec.
2025-08-25;hatch;fiat;argo;argo drive 1.0;2023;2024;69990;ARGO DRIVE 1.0 flex mec.
2025-08-25;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;POLO TRACK 1.0 flex mec.
2025-08-25;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.
2025-08-25;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;POLO TRACK 1.0 flex mec.
2025-08-25;suv;volkswagen;t-cross;t-cross 1.0;2023;2024;109990;T-CROSS 1.0 flex aut.
2025-08-25;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;HB20 COMFORT PLUS FLEX 1.0 flex mec.
2025-08-25;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;POLO TRACK 1.0 flex mec.
2025-08-25;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;67990;HB20 SENSE PLUS FLEX 1.0 flex mec.
2025-08-25;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;POLO 1.0 flex mec.
2025-08-25;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;POLO TRACK 1.0 flex mec.
2025-08-25;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;72990;HB20 COMFORT PLUS FLEX 1.0 flex mec.
2025-08-25;hatch;volkswagen;polo;polo track 1.0;2024;2024;69990;POLO TRACK 1.0 flex mec.
2025-08-25;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.
2025-08-25;hatch;hyundai;hb20;hb20 sense plus flex 1.0;2023;2024;67990;HB20 SENSE PLUS FLEX 1.0 flex mec.
2025-08-25;hatch;volkswagen;polo;polo 1.0;2023;2024;72990;POLO 1.0 flex mec.
