fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present;SiglaCombustivel;codigoTipoCombustivel
005540-9;2025;1485;135;1620;True;True;F;5
001494-0;2025;947;41;988;True;True;F;5
025266-2;2025;760;177;937;True;True;F;5
004517-9;2025;902;0;902;True;False;F;5
015239-0;2025;506;108;614;True;True;F;5
015245-5;2025;537;26;563;True;True;F;5
005510-7;2025;376;181;557;True;True;F;5
001461-3;2025;277;143;420;True;True;F;5
005538-7;2025;153;262;415;True;True;F;5
001553-9;2025;313;100;413;True;True;F;5
004518-7;2025;389;1;390;True;True;F;5
001569-5;2025;333;47;380;True;True;F;5
005525-5;2024;109;241;350;True;True;F;5
005526-3;2024;325;10;335;True;True;F;5
005508-5;2025;317;2;319;True;True;F;5
005509-3;2025;255;53;308;True;True;F;5
005540-9;2024;79;222;301;True;True;F;5
004517-9;2024;291;0;291;True;False;F;5
025266-2;2024;70;215;285;True;True;F;5
025327-8;2025;92;186;278;True;True;F;5
017088-7;2024;267;10;277;True;True;F;5
015190-4;2025;3;255;258;True;True;F;5
001461-3;2024;111;142;253;True;True;F;5
015235-8;2025;251;0;251;True;False;F;5
005510-7;2024;63;185;248;True;True;F;5
002168-7;2025;0;243;243;False;True;F;5
005535-2;2025;140;99;239;True;True;F;5
017088-7;2025;220;11;231;True;True;F;5
004502-0;2025;220;5;225;True;True;F;5
011223-2;2025;214;11;225;True;True;F;5
001530-0;2025;213;9;222;True;True;F;5
004522-5;2025;205;8;213;True;True;F;5
005538-7;2024;31;179;210;True;True;F;5
004494-6;2025;199;8;207;True;True;F;5
025290-5;2025;1;201;202;True;True;F;5
001569-5;2024;130;66;196;True;True;F;5
017071-2;2025;167;14;181;True;True;F;5
015240-4;2025;178;2;180;True;True;F;5
001531-8;2025;127;44;171;True;True;F;5
015247-1;2025;0;167;167;False;True;F;5
017071-2;2024;157;8;165;True;True;F;5
002207-1;2025;0;164;164;False;True;F;5
001505-9;2025;116;42;158;True;True;F;5
004502-0;2024;147;8;155;True;True;F;5
015234-0;2025;135;16;151;True;True;F;5
001542-3;2025;145;0;145;True;False;F;5
024264-0;2024;114;24;138;True;True;F;5
023178-9;2024;114;22;136;True;True;F;5
001505-9;2024;123;4;127;True;True;F;5
004502-0;2023;126;0;126;True;False;F;5
005509-3;2024;111;14;125;True;True;F;5
005528-0;2024;121;3;124;True;True;F;5
001461-3;2023;68;54;122;True;True;F;5
001509-1;2025;97;25;122;True;True;F;5
004516-0;2025;120;0;120;True;False;F;5
015244-7;2025;102;17;119;True;True;F;5
004504-7;2025;118;0;118;True;False;F;5
002203-9;2025;0;116;116;False;True;F;5
004525-0;2025;112;3;115;True;True;F;5
001526-1;2023;102;10;112;True;True;F;5
017071-2;2023;97;14;111;True;True;F;5
004518-7;2024;109;0;109;True;False;F;5
005535-2;2024;12;93;105;True;True;F;5
001494-0;2024;95;5;100;True;True;F;5
015236-6;2025;99;0;99;True;False;F;5
004525-0;2024;94;4;98;True;True;F;5
001544-0;2024;40;49;89;True;True;F;5
001531-8;2024;75;11;86;True;True;F;5
015234-0;2024;64;21;85;True;True;F;5
