fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present
005540-9;2025;939;325;1264;True;True
005540-9;2024;175;1031;1206;True;True
015245-5;2025;968;97;1065;True;True
004517-9;2025;714;2;716;True;True
001461-3;2025;444;217;661;True;True
001494-0;2025;497;113;610;True;True
015234-0;2025;212;383;595;True;True
004517-9;2024;588;0;588;True;False
025266-2;2025;78;456;534;True;True
001461-3;2024;380;121;501;True;True
025266-2;2024;112;389;501;True;True
004519-5;2024;0;451;451;False;True
005510-7;2024;138;309;447;True;True
017088-7;2024;401;3;404;True;True
015245-5;2024;353;1;354;True;True
005535-2;2024;38;314;352;True;True
005509-3;2024;292;31;323;True;True
015239-0;2025;214;62;276;True;True
004525-0;2024;267;0;267;True;False
005526-3;2024;247;20;267;True;True
004502-0;2024;260;5;265;True;True
001505-9;2024;250;0;250;True;False
001494-0;2024;235;14;249;True;True
001536-9;2024;238;2;240;True;True
015240-4;2025;229;0;229;True;False
002207-1;2025;0;228;228;False;True
015234-0;2024;121;95;216;True;True
005525-5;2024;73;134;207;True;True
001553-9;2024;180;23;203;True;True
004518-7;2025;197;1;198;True;True
005533-6;2024;119;76;195;True;True
015190-4;2025;7;182;189;True;True
004518-7;2024;187;0;187;True;False
001461-3;2023;136;46;182;True;True
011223-2;2024;172;5;177;True;True
017071-2;2024;172;4;176;True;True
004522-5;2025;167;2;169;True;True
024264-0;2024;135;29;164;True;True
017071-2;2023;153;5;158;True;True
001544-0;2024;93;63;156;True;True
001531-8;2024;138;6;144;True;True
015240-4;2024;141;0;141;True;False
004522-5;2024;139;1;140;True;True
001526-1;2023;130;7;137;True;True
005538-7;2024;65;65;130;True;True
005528-0;2023;118;1;119;True;True
001509-1;2025;94;20;114;True;True
002168-7;2025;0;114;114;False;True
017071-2;2025;111;2;113;True;True
004494-6;2024;111;1;112;True;True
005508-5;2024;107;2;109;True;True
004532-2;2024;108;0;108;True;False
004504-7;2025;106;0;106;True;False
001569-5;2024;99;6;105;True;True
004504-7;2024;105;0;105;True;False
004502-0;2023;100;3;103;True;True
023178-9;2024;90;10;100;True;True
001553-9;2025;96;3;99;True;True
025301-4;2024;86;8;94;True;True
015244-7;2025;89;3;92;True;True
005535-2;2025;83;3;86;True;True
015239-0;2024;83;2;85;True;True
001494-0;2023;77;4;81;True;True
