fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present;SiglaCombustivel;codigoTipoCombustivel
005540-9;2025;1542;143;1685;True;True;F;5
025266-2;2025;818;189;1007;True;True;F;5
001494-0;2025;939;59;998;True;True;F;5
004517-9;2025;903;0;903;True;False;F;5
005510-7;2025;491;181;672;True;True;F;5
015239-0;2025;559;107;666;True;True;F;5
015245-5;2025;607;44;651;True;True;F;5
001461-3;2025;335;138;473;True;True;F;5
005538-7;2025;156;256;412;True;True;F;5
001569-5;2025;340;60;400;True;True;F;5
004518-7;2025;391;1;392;True;True;F;5
005509-3;2025;334;52;386;True;True;F;5
001553-9;2025;296;82;378;True;True;F;5
005508-5;2025;368;3;371;True;True;F;5
025327-8;2025;113;198;311;True;True;F;5
005540-9;2024;35;260;295;True;True;F;5
005525-5;2024;23;266;289;True;True;F;5
015235-8;2025;282;0;282;True;False;F;5
005535-2;2025;177;104;281;True;True;F;5
017088-7;2025;263;15;278;True;True;F;5
015190-4;2025;1;265;266;True;True;F;5
004522-5;2025;255;9;264;True;True;F;5
005510-7;2024;25;239;264;True;True;F;5
011223-2;2025;250;12;262;True;True;F;5
001530-0;2025;226;25;251;True;True;F;5
017071-2;2025;221;21;242;True;True;F;5
025266-2;2024;32;203;235;True;True;F;5
004494-6;2025;227;7;234;True;True;F;5
005526-3;2024;214;14;228;True;True;F;5
002168-7;2025;0;220;220;False;True;F;5
004502-0;2025;211;4;215;True;True;F;5
025290-5;2025;1;212;213;True;True;F;5
001461-3;2024;39;155;194;True;True;F;5
001531-8;2025;137;52;189;True;True;F;5
015240-4;2025;184;2;186;True;True;F;5
005538-7;2024;14;169;183;True;True;F;5
017088-7;2024;144;18;162;True;True;F;5
001505-9;2025;113;40;153;True;True;F;5
015247-1;2025;0;143;143;False;True;F;5
002207-1;2025;0;142;142;False;True;F;5
015234-0;2025;120;16;136;True;True;F;5
004516-0;2025;134;0;134;True;False;F;5
001509-1;2025;103;28;131;True;True;F;5
001461-3;2023;29;99;128;True;True;F;5
001542-3;2025;128;0;128;True;False;F;5
004504-7;2025;125;0;125;True;False;F;5
015244-7;2025;113;12;125;True;True;F;5
001569-5;2024;54;68;122;True;True;F;5
004525-0;2025;116;2;118;True;True;F;5
002203-9;2025;0;109;109;False;True;F;5
004517-9;2024;105;0;105;True;False;F;5
005535-2;2024;9;96;105;True;True;F;5
015236-6;2025;98;0;98;True;False;F;5
017071-2;2024;75;14;89;True;True;F;5
004397-4;2025;88;0;88;True;False;D;3
001538-5;2025;80;5;85;True;True;F;5
025322-7;2025;35;49;84;True;True;F;5
015246-3;2025;0;83;83;False;True;F;5
015242-0;2025;80;1;81;True;True;F;5
001554-7;2025;77;3;80;True;True;F;5
004502-0;2024;70;8;78;True;True;F;5
014114-3;2025;78;0;78;True;False;G;1
004532-2;2025;76;1;77;True;True;F;5
001544-0;2024;12;62;74;True;True;F;5
017071-2;2023;48;26;74;True;True;F;5
015200-5;2025;60;13;73;True;True;F;5
024264-0;2024;46;27;73;True;True;F;5
004541-1;2025;68;0;68;True;False;F;5
005526-3;2025;64;3;67;True;True;F;5
005543-3;2025;28;38;66;True;True;F;5
023178-9;2024;32;34;66;True;True;F;5
011232-1;2025;62;0;62;True;False;F;5
001531-8;2024;42;17;59;True;True;F;5
005509-3;2024;34;20;54;True;True;F;5
005528-0;2024;53;1;54;True;True;F;5
017081-0;2025;53;0;53;True;False;F;5
015234-0;2024;32;18;50;True;True;F;5
001494-0;2023;8;40;48;True;True;F;5
015245-5;2024;44;2;46;True;True;F;5
004550-0;2025;45;0;45;True;False;D;3
001553-9;2024;14;30;44;True;True;F;5
005528-0;2023;41;3;44;True;True;F;5
005538-7;2023;2;41;43;True;True;F;5
004502-0;2023;38;4;42;True;True;F;5
011223-2;2024;31;11;42;True;True;F;5
001526-1;2023;26;13;39;True;True;F;5
005485-2;2025;32;6;38;True;True;F;5
005543-3;2024;4;33;37;True;True;F;5
001509-1;2024;22;14;36;True;True;F;5
025331-6;2025;7;29;36;True;True;F;5
015203-0;2025;35;0;35;True;False;F;5
001544-0;2025;14;20;34;True;True;F;5
005534-4;2023;33;0;33;True;False;F;5
001509-1;2023;19;13;32;True;True;F;5
001554-7;2024;19;12;31;True;True;F;5
005533-6;2024;12;17;29;True;True;F;5
017071-2;2022;10;19;29;True;True;F;5
001494-0;2024;7;20;27;True;True;F;5
001505-9;2024;23;4;27;True;True;F;5
005527-1;2024;12;15;27;True;True;F;5
023187-8;2025;27;0;27;True;False;G;1
025322-7;2026;0;27;27;False;True;F;5
005492-5;2023;18;8;26;True;True;F;5
005508-5;2023;24;2;26;True;True;F;5
025328-6;2025;16;10;26;True;True;F;5
001542-3;2024;16;9;25;True;True;F;5
004501-2;2025;14;11;25;True;True;F;5
004519-5;2024;0;25;25;False;True;F;5
004522-5;2024;24;1;25;True;True;F;5
025266-2;2023;12;13;25;True;True;F;5
005508-5;2024;23;1;24;True;True;F;5
005542-5;2025;24;0;24;True;False;F;5
001530-0;2024;21;2;23;True;True;F;5
004518-7;2024;23;0;23;True;False;F;5
005537-9;2024;0;23;23;False;True;F;5
015240-4;2024;22;1;23;True;True;F;5
017085-2;2024;3;20;23;True;True;F;5
002181-4;2024;0;22;22;False;True;F;5
004525-0;2024;18;4;22;True;True;F;5
005536-0;2025;12;10;22;True;True;F;5
