snapshot_date;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;city;state;store_code;store_name;source;version
2025-08-25;11404585;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;São Paulo;SP;;São Paulo Radial Leste;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11404637;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11405028;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Barra da Tijuca;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11405263;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Av. das Américas;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11405980;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Campinas;SP;;Campinas Orosimbo;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406155;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Rio de Janeiro;RJ;;Rio de Janeiro Campo Grande;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406180;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Antonio Carlos;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406265;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Cristiano Machado;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406484;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Nova Iguaçu;RJ;;Nova Iguaçu;movida;kwid zen 1.0 flex 12v 5p mec.
2025-08-25;11406514;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52000;Belo Horizonte;MG;;Belo Horizonte Raja;movida;kwid zen 1.0 flex 12v 5p mec.
