snapshot_date;ano_fabricacao;caracteristicas;cidade;estado;tem_fotos;img;portas;cor;loja;codigo_fipe;marca_modelo;id_marca;preco;especial_ecommerce;marca;uf;grupo_id;marca_modelo_versao;dt_atualizacao_elastic;id;complemento_opcional;id_loja;preco_0km;combustivel;localizacao;incentivos;quantidade_visualizacoes;modelo_versao;categoria;final_placa;modelo;id_vetor;dt_criacao;preco_anterior;ano_modelo;selos;quilometragem;promocoes;transmissao;versao;financiamento_parcelas;financiamento_porcentagem_entrada;financiamento_coeficiente;financiamento_valor_parcela;financiamento_valor_entrada;offer_id;fipe_code;type;brand;model;version_raw;manufacture_year;model_year;price;version
2025-12-29;2022;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/886923_082a69ac4e97e9f2702bda18fdf8bb28.jpeg;4;Branco;São Paulo Ermano Marchetti;025266-2;Renault Kwid;48;51100;40812;Renault;SP;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:55:55.253-03:00;886923;;1353;0.00;Flex;-23.514575120194,-46.697771835333;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;886923;2025-12-29 01:55:54;51100;2023;[];71569;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;756.57;30660;886923;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;51100;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Ribeirão Preto;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1027463_1adffa272656f834ae4e513743a054bevmob.webp;4;Branco;Ribeirão Preto;025266-2;Renault Kwid;48;51400;41044;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:55:30.676-03:00;1027463;;220;0.00;Flex;-21.202089083065,-47.768174228835;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;6;Kwid;1027463;2025-12-29 01:55:30;51400;2024;[];63408;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;761.01;30840;1027463;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51400;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Osasco;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/994368_c8bf0ee5aaa0ef2f51420f0e1ad20731vmob.webp;4;Branco;Auto Shopping Autonomistas;025266-2;Renault Kwid;48;51400;41053;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:56:27.677-03:00;994368;;1492;0.00;Flex;-23.54309,-46.76305;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;3;Kwid;994368;2025-12-29 01:56:26;51400;2024;[];53369;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;761.01;30840;994368;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51400;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Campinas;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/979446_098c6a1fab5b1d20cdb95c7bb35298efvmob.webp;4;Branco;Campinas Shopping Dom Pedro;025266-2;Renault Kwid;48;51400;41044;Renault;SP;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:56:33.536-03:00;979446;;1074;0.00;Flex;-22.848839708638,-47.061658186506;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;3;Kwid;979446;2025-12-29 01:56:33;51400;2024;[];69072;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;761.01;30840;979446;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51400;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São José dos Campos;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1023089_2bd729ce1b2f7f1acf812199e4435f09.jpeg;4;Branco;São José dos Campos;025266-2;Renault Kwid;48;51400;41044;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:57:03.896-03:00;1023089;;542;0.00;Flex;-23.198768445417,-45.878754026988;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;1;Kwid;1023089;2025-12-29 01:57:03;51400;2024;[];64824;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;761.01;30840;1023089;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51400;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Osasco;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1010491_1652304cd7bb703c0211a7b83ac0d7bb.jpg;4;Branco;Osasco;025266-2;Renault Kwid;48;51400;41044;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:57:36.595-03:00;1010491;;888;0.00;Flex;-23.53902804879,-46.7701637;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1010491;2025-12-29 01:57:36;51400;2024;[];63135;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;761.01;30840;1010491;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51400;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2022;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Taubaté;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/886959_db2bfd5d85dd1da49714a346d997ef8c.jpeg;4;Branco;Taubaté;025266-2;Renault Kwid;48;51600;41233;Renault;SP;GT;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:56:22.585-03:00;886959;;1018;0.00;Flex;-23.025976470653,-45.580712733555;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;886959;2025-12-29 01:56:21;51600;2023;[];65348;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;763.97;30960;886959;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2022;2023;51600;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Uberlândia;Minas Gerais;True;https://content.seminovosmovida.com.br/veiculos/1010834_1bd2d9ddb5c60b6b2658827038c825a9.jpeg;4;Branco;Uberlândia;025266-2;Renault Kwid;48;51900;41467;Renault;MG;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:57:08.206-03:00;1010834;;292;0.00;Flex;-18.926738347831,-48.254890355825;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;6;Kwid;1010834;2025-12-29 01:57:07;51900;2024;[];56565;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;768.41;31140;1010834;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;51900;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";Sorocaba;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1028093_534f5ce0857a7d1a229d96d715d21943vmob.webp;4;Branco;Sorocaba Dom Aguirre;025266-2;Renault Kwid;48;52100;41657;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:56:32.180-03:00;1028093;;1323;0.00;Flex;-23.481627037561,-47.439461469319;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;4;Kwid;1028093;2025-12-29 01:56:31;52100;2024;[];70349;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;771.37;31260;1028093;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52100;kwid zen 1.0 flex 12v 5p mec.
2025-12-29;2023;"[""Travas elétricas"", ""Airbags frontais"", ""Banco do motorista com ajuste de altura"", ""Conexão USB"", ""Freios ABS"", ""Airbag para motorista"", ""Volante com ajuste de altura"", ""Airbags laterais"", ""Controle elétrico do vidros dianteiros"", ""Ar condicionado"", ""Conexão Bluetooth"", ""Volante multifuncional"", ""Ar quente"", ""Rádio""]";São Paulo;São Paulo;True;https://content.seminovosmovida.com.br/veiculos/1028367_6e44fc93f40ab298cde782dfa9b171bd.jpeg;4;Branco;Auto Shopping Bandeirantes;025266-2;Renault Kwid;48;52100;41657;Renault;SP;AX;Renault Kwid Zen 1.0 Flex 12V 5P Mec.;2025-12-29T01:56:35.159-03:00;1028367;;1496;0.00;Flex;-23.60972,-46.60757;"[{""img"": ""https://static.seminovosmovida.com.br/storage_dev/12x_sem_juros_sf.png"", ""incentivo"": ""12x sem juros""}]";0;Kwid Zen 1.0 Flex 12V 5P Mec.;Hatch;2;Kwid;1028367;2025-12-29 01:56:34;52100;2024;[];80765;[];Manual;Zen 1.0 Flex 12V 5P Mec.;60;60;0.037014;771.37;31260;1028367;025266-2;hatch;renault;kwid;zen 1.0 flex 12v 5p mec.;2023;2024;52100;kwid zen 1.0 flex 12v 5p mec.
