TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
327,1,,,2021,,"R$ 69.814,00",Fiat,Doblo ESSENCE 1.8 Flex 16V 5p,2021,001352-8,Flex,1,F,novembro de 2025 ,5qwqcs8fgsg6,"sábado, 1 de novembro de 2025 04:50",69814.0
327,1,,,2021,,"R$ 44.977,00",Fiat,UNO ATTRACTIVE 1.0 Fire Flex 8V 5p,2021,001424-9,Flex,1,F,novembro de 2025 ,wbn60pf5cjg6,"sábado, 1 de novembro de 2025 04:50",44977.0
327,1,,,2022,,"R$ 124.037,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2022,001453-2,Diesel,1,D,novembro de 2025 ,g0rp3s41jzdm9,"sábado, 1 de novembro de 2025 04:50",124037.0
327,1,,,2023,,"R$ 137.286,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2023,001453-2,Diesel,1,D,novembro de 2025 ,hh88hvsdm5drj,"sábado, 1 de novembro de 2025 04:50",137286.0
327,1,,,2024,,"R$ 156.562,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2024,001453-2,Diesel,1,D,novembro de 2025 ,h7wwvls192dvr,"sábado, 1 de novembro de 2025 04:50",156562.0
327,1,,,2025,,"R$ 167.583,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2025,001453-2,Diesel,1,D,novembro de 2025 ,jntgtwcv5bdyz,"sábado, 1 de novembro de 2025 04:50",167583.0
327,1,,,2021,,"R$ 46.727,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2021,001461-3,Flex,1,F,novembro de 2025 ,wz587r8bq7g6,"sábado, 1 de novembro de 2025 04:50",46727.0
327,1,,,2022,,"R$ 49.709,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2022,001461-3,Flex,1,F,novembro de 2025 ,x3443gbps6lf,"sábado, 1 de novembro de 2025 04:50",49709.0
327,1,,,2023,,"R$ 53.462,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,Flex,1,F,novembro de 2025 ,zj477127vjpn,"sábado, 1 de novembro de 2025 04:50",53462.0
327,1,,,2025,,"R$ 59.773,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2025,001461-3,Flex,1,F,novembro de 2025 ,1x43tj9ybfw3,"sábado, 1 de novembro de 2025 04:50",59773.0
327,1,,,2024,,"R$ 57.161,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,Flex,1,F,novembro de 2025 ,0yjqyr41n4sw,"sábado, 1 de novembro de 2025 04:50",57161.0
327,1,,,2021,,"R$ 107.419,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2021,001487-7,Diesel,1,D,novembro de 2025 ,gc8ppgtmymdj2,"sábado, 1 de novembro de 2025 04:50",107419.0
327,1,,,2022,,"R$ 116.146,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2022,001487-7,Diesel,1,D,novembro de 2025 ,gqhwwmqplwdm9,"sábado, 1 de novembro de 2025 04:50",116146.0
327,1,,,2023,,"R$ 125.560,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2023,001487-7,Diesel,1,D,novembro de 2025 ,g2j149rm7qdrj,"sábado, 1 de novembro de 2025 04:50",125560.0
327,1,,,2021,,"R$ 56.624,00",Fiat,ARGO DRIVE 1.0 6V Flex,2021,001494-0,Flex,1,F,novembro de 2025 ,0q7j8qzcj6g6,"sábado, 1 de novembro de 2025 04:50",56624.0
327,1,,,2022,,"R$ 61.802,00",Fiat,ARGO DRIVE 1.0 6V Flex,2022,001494-0,Flex,1,F,novembro de 2025 ,2pylprk5rclf,"sábado, 1 de novembro de 2025 04:50",61802.0
327,1,,,2024,,"R$ 69.989,00",Fiat,ARGO DRIVE 1.0 6V Flex,2024,001494-0,Flex,1,F,novembro de 2025 ,5sx96dl63vsw,"sábado, 1 de novembro de 2025 04:50",69989.0
327,1,,,2023,,"R$ 64.959,00",Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,Flex,1,F,novembro de 2025 ,3wy2cycswkpn,"sábado, 1 de novembro de 2025 04:50",64959.0
