TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
324,1,,,2022,,"R$ 126.237,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2022,001453-2,Diesel,1,D,agosto de 2025 ,g3bnzf6qp8dm9,"domingo, 10 de agosto de 2025 06:10",126237.0
324,1,,,2023,,"R$ 140.714,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2023,001453-2,Diesel,1,D,agosto de 2025 ,hm9v0vgxq8drj,"domingo, 10 de agosto de 2025 06:10",140714.0
324,1,,,2024,,"R$ 164.521,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2024,001453-2,Diesel,1,D,agosto de 2025 ,jj65pvjkdrdvr,"domingo, 10 de agosto de 2025 06:10",164521.0
324,1,,,2025,,"R$ 169.839,00",Fiat,Toro Volcano 2.0 16V 4x4 TB Diesel Aut.,2025,001453-2,Diesel,1,D,agosto de 2025 ,jrggskxw0jdyz,"domingo, 10 de agosto de 2025 06:10",169839.0
324,1,,,2022,,"R$ 51.141,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2022,001461-3,Flex,1,F,agosto de 2025 ,ynym6wkv97lf,"domingo, 10 de agosto de 2025 05:47",51141.0
324,1,,,2023,,"R$ 54.020,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,Flex,1,F,agosto de 2025 ,zrp2h7vy8lpn,"domingo, 10 de agosto de 2025 05:47",54020.0
324,1,,,2024,,"R$ 56.937,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,Flex,1,F,agosto de 2025 ,0vw9zsv762sw,"domingo, 10 de agosto de 2025 05:47",56937.0
324,1,,,2025,,"R$ 65.036,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2025,001461-3,Flex,1,F,agosto de 2025 ,3xv1yjzrfcw3,"domingo, 10 de agosto de 2025 05:47",65036.0
324,1,,,2022,,"R$ 118.081,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2022,001487-7,Diesel,1,D,agosto de 2025 ,gsr64zhd9ddm9,"domingo, 10 de agosto de 2025 06:09",118081.0
324,1,,,2023,,"R$ 130.494,00",Fiat,Toro Freedom 2.0 16V 4x4 TB Diesel Aut.,2023,001487-7,Diesel,1,D,agosto de 2025 ,g8bdk0yb53drj,"domingo, 10 de agosto de 2025 06:09",130494.0
324,1,,,2023,,"R$ 66.193,00",Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,Flex,1,F,agosto de 2025 ,4cflh2068npn,"domingo, 10 de agosto de 2025 05:30",66193.0
324,1,,,2024,,"R$ 70.323,00",Fiat,ARGO DRIVE 1.0 6V Flex,2024,001494-0,Flex,1,F,agosto de 2025 ,5xvqjnk5kssw,"domingo, 10 de agosto de 2025 05:30",70323.0
324,1,,,2025,,"R$ 78.114,00",Fiat,ARGO DRIVE 1.0 6V Flex,2025,001494-0,Flex,1,F,agosto de 2025 ,8v6h2rgqpdw3,"domingo, 10 de agosto de 2025 05:30",78114.0
