TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
335,1,,,2020,5,"R$ 44.335,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2020,001461-3,Flex,1,F,julho de 2026 ,v24wbj06mlcz,"quarta-feira, 1 de julho de 2026 01:56",44335.0
335,1,,,2021,5,"R$ 46.598,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2021,001461-3,Flex,1,F,julho de 2026 ,wypdtlwfdlg6,"quarta-feira, 1 de julho de 2026 01:56",46598.0
335,1,,,2022,5,"R$ 50.316,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2022,001461-3,Flex,1,F,julho de 2026 ,yb8slw8968lf,"quarta-feira, 1 de julho de 2026 01:56",50316.0
335,1,,,2023,5,"R$ 53.768,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2023,001461-3,Flex,1,F,julho de 2026 ,znrg6xpv01pn,"quarta-feira, 1 de julho de 2026 01:56",53768.0
335,1,,,2024,5,"R$ 56.214,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2024,001461-3,Flex,1,F,julho de 2026 ,0lfjnt73zksw,"quarta-feira, 1 de julho de 2026 01:56",56214.0
335,1,,,2025,5,"R$ 61.105,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,2025,001461-3,Flex,1,F,julho de 2026 ,2fr79c7smfw3,"quarta-feira, 1 de julho de 2026 01:56",61105.0
335,1,,,2022,5,"R$ 59.656,00",Fiat,ARGO DRIVE 1.0 6V Flex,2022,001494-0,Flex,1,F,julho de 2026 ,1wsllxwgddlf,"quarta-feira, 1 de julho de 2026 01:56",59656.0
335,1,,,2023,5,"R$ 64.774,00",Fiat,ARGO DRIVE 1.0 6V Flex,2023,001494-0,Flex,1,F,julho de 2026 ,3tsty81fswpn,"quarta-feira, 1 de julho de 2026 01:56",64774.0
335,1,,,2024,5,"R$ 68.492,00",Fiat,ARGO DRIVE 1.0 6V Flex,2024,001494-0,Flex,1,F,julho de 2026 ,47c6rlgbmksw,"quarta-feira, 1 de julho de 2026 01:56",68492.0
335,1,,,2025,5,"R$ 71.232,00",Fiat,ARGO DRIVE 1.0 6V Flex,2025,001494-0,Flex,1,F,julho de 2026 ,58h3v1hnzhw3,"quarta-feira, 1 de julho de 2026 01:56",71232.0
335,1,,,2026,5,"R$ 78.623,00",Fiat,ARGO DRIVE 1.0 6V Flex,2026,001494-0,Flex,1,F,julho de 2026 ,815jddrbsl0b,"quarta-feira, 1 de julho de 2026 01:56",78623.0
335,1,,,2021,5,"R$ 74.369,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2021,001531-8,Flex,1,F,julho de 2026 ,7f896c4lqmg6,"quarta-feira, 1 de julho de 2026 01:57",74369.0
335,1,,,2023,5,"R$ 83.566,00",Fiat,Fiorino Endurance EVO 1.4 Flex 8V 2p,2023,001531-8,Flex,1,F,julho de 2026 ,cbx34x9h9z0pn,"quarta-feira, 1 de julho de 2026 01:57",83566.0
