TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
326,1,,,32000,5,"R$ 69.018,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,32000,001461-3,Flex,1,F,outubro de 2025 ,5fkdc7tnjqcz,"quarta-feira, 1 de outubro de 2025 00:55",69018.0
326,1,,,32000,5,"R$ 88.993,00",Fiat,ARGO DRIVE 1.0 6V Flex,32000,001494-0,Flex,1,F,outubro de 2025 ,cdzrpwd7sj5cz,"quarta-feira, 1 de outubro de 2025 00:55",88993.0
326,1,,,32000,5,"R$ 163.389,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,32000,001538-5,Flex,1,F,outubro de 2025 ,jhw06s8b10cz,"quarta-feira, 1 de outubro de 2025 00:55",163389.0
326,1,,,32000,5,"R$ 112.992,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,32000,001554-7,Flex,1,F,outubro de 2025 ,gls7258nzncz,"quarta-feira, 1 de outubro de 2025 00:55",112992.0
326,1,,,32000,5,"R$ 111.250,00",Fiat,Strada Endurance 1.3 Flex 8V CS Plus,32000,001569-5,Flex,1,F,outubro de 2025 ,gjrx8222rcj1hl,"quarta-feira, 1 de outubro de 2025 00:55",111250.0
326,1,,,32000,5,"R$ 171.598,00",Toyota,Corolla XEi 2.0 Flex 16V Aut.,32000,002111-3,Flex,1,F,outubro de 2025 ,jtjdrhv80ycz,"quarta-feira, 1 de outubro de 2025 00:55",171598.0
326,1,,,32000,3,"R$ 290.037,00",Toyota,Hilux CD SR 4x4 2.8 TDI Diesel Aut.,32000,002142-3,Diesel,1,D,outubro de 2025 ,n9c9lk5sh0cb,"quarta-feira, 1 de outubro de 2025 00:55",290037.0
326,1,,,32000,5,"R$ 189.453,00",Toyota,Corolla Cross XRE 2.0 16V Flex Aut.,32000,002203-9,Flex,1,F,outubro de 2025 ,khgczjxbkgcz,"quarta-feira, 1 de outubro de 2025 00:55",189453.0
326,1,,,32000,5,"R$ 113.194,00",Toyota,YARIS XL 1.5 Flex 16V 5p Aut.,32000,002207-1,Flex,1,F,outubro de 2025 ,gl1lpyb269cz,"quarta-feira, 1 de outubro de 2025 00:55",113194.0
326,1,,,32000,3,"R$ 255.935,00",Ford,Ranger XL 2.0 4x4 CD Diesel Mec. ,32000,003502-5,Diesel,1,D,outubro de 2025 ,m0dsy1n7dvj1gy,"quarta-feira, 1 de outubro de 2025 00:55",255935.0
326,1,,,32000,5,"R$ 156.829,00",GM - Chevrolet,SPIN PREMIER 1.8 8V Econo.Flex 5p Aut.,32000,004494-6,Flex,1,F,outubro de 2025 ,h76lpqrwswcz,"quarta-feira, 1 de outubro de 2025 00:55",156829.0
326,1,,,32000,5,"R$ 120.869,00",GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V TB Flex Aut.,32000,004501-2,Flex,1,F,outubro de 2025 ,gw1kkbhs04cz,"quarta-feira, 1 de outubro de 2025 00:55",120869.0
326,1,,,32000,5,"R$ 105.757,00",GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,32000,004517-9,Flex,1,F,outubro de 2025 ,f9980rcqpdcz,"quarta-feira, 1 de outubro de 2025 00:55",105757.0
326,1,,,32000,5,"R$ 184.521,00",GM - Chevrolet,TRACKER Premier 1.2 Turbo 12V Flex Aut.,32000,004525-0,Flex,1,F,outubro de 2025 ,j9n3tk2cc4cz,"quarta-feira, 1 de outubro de 2025 00:55",184521.0
326,1,,,32000,5,"R$ 158.606,00",GM - Chevrolet,MONTANA LTZ 1.2 Turbo Flex 12V 4p Aut.,32000,004541-1,Flex,1,F,outubro de 2025 ,h985x9lgbfj1hl,"quarta-feira, 1 de outubro de 2025 00:55",158606.0
326,1,,,32000,5,"R$ 142.632,00",VW - VolksWagen,VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,32000,005484-4,Flex,1,F,outubro de 2025 ,hqkk4kxqlccz,"quarta-feira, 1 de outubro de 2025 00:55",142632.0
326,1,,,32000,5,"R$ 163.646,00",VW - VolksWagen,T-Cross Comfor. 200 TSI 1.0 Flex 5p Aut.,32000,005509-3,Flex,1,F,outubro de 2025 ,jh6csm4fqcj1hl,"quarta-feira, 1 de outubro de 2025 00:55",163646.0
326,1,,,32000,5,"R$ 147.733,00",VW - VolksWagen,Nivus Highline 1.0 200 TSI Flex Aut.,32000,005526-3,Flex,1,F,outubro de 2025 ,hxjzql36z1cz,"quarta-feira, 1 de outubro de 2025 00:55",147733.0
326,1,,,32000,5,"R$ 120.521,00",VW - VolksWagen,Saveiro Robust 1.6 Total Flex 16V CD,32000,005537-9,Flex,1,F,outubro de 2025 ,gwmxfvx9ggj1hl,"quarta-feira, 1 de outubro de 2025 00:55",120521.0
326,1,,,32000,5,"R$ 86.668,00",VW - VolksWagen,Polo Track 1.0 Flex 12V 5p,32000,005540-9,Flex,1,F,outubro de 2025 ,cc3hmsv5ts6cz,"quarta-feira, 1 de outubro de 2025 00:55",86668.0
326,1,,,32000,5,"R$ 82.742,00",Citroën,C3 Live Pack 1.0 Flex 6V 5p Mec.,32000,011223-2,Flex,1,F,outubro de 2025 ,cbmgncbyfz4cz,"quarta-feira, 1 de outubro de 2025 00:55",82742.0
326,1,,,32000,5,"R$ 117.490,00",Honda,CITY Sedan LX 1.5 Flex 16V 4p Aut.,32000,014059-7,Flex,1,F,outubro de 2025 ,gr2q7ryp4scz,"quarta-feira, 1 de outubro de 2025 00:55",117490.0
326,1,,,32000,5,"R$ 202.365,00",Honda,HR-V Advance 1.5  Flex TB 16V 5p Aut.,32000,014111-9,Flex,1,F,outubro de 2025 ,kzlpnbvkqdj1hl,"quarta-feira, 1 de outubro de 2025 00:55",202365.0
326,1,,,32000,5,"R$ 117.210,00",Honda,CITY Hatchback LX 1.5 Flex 16V Aut.,32000,014116-0,Flex,1,F,outubro de 2025 ,grrkrh1y41j1hl,"quarta-feira, 1 de outubro de 2025 00:55",117210.0
326,1,,,32000,5,"R$ 89.693,00",Hyundai,HB20 Comfort Plus 1.0 Flex 12V Mec.,32000,015245-5,Flex,1,F,outubro de 2025 ,cd7y346nxgscz,"quarta-feira, 1 de outubro de 2025 00:55",89693.0
326,1,,,32000,5,"R$ 196.616,00",Jeep,COMPASS LONG. T270 1.3 TB 4x2 Flex Aut.,32000,017071-2,Flex,1,F,outubro de 2025 ,krvqx16xv2cz,"quarta-feira, 1 de outubro de 2025 00:55",196616.0
