TabelaReferenciaCodigo,CodigoTipoVeiculo,CodigoMarca,CodigoModelo,AnoModeloParam,CodigoTipoCombustivelParam,Valor,Marca,Modelo,AnoModelo,CodigoFipe,Combustivel,TipoVeiculo,SiglaCombustivel,MesReferencia,Autenticacao,DataConsulta,ValorNum
337,1,,,32000,5,"R$ 76.775,00",Fiat,MOBI LIKE 1.0 Fire Flex 5p.,32000,001461-3,Flex,1,F,setembro de 2026 ,8chty5lssycz,"terça-feira, 1 de setembro de 2026 04:00",76775.0
337,1,,,32000,5,"R$ 93.632,00",Fiat,ARGO DRIVE 1.0 6V Flex,32000,001494-0,Flex,1,F,setembro de 2026 ,cgq4t6m2byhcz,"terça-feira, 1 de setembro de 2026 04:00",93632.0
337,1,,,32000,5,"R$ 169.350,00",Fiat,Toro Freedom 1.3 T270 4x2 Flex Aut.,32000,001538-5,Flex,1,F,setembro de 2026 ,jqwptjyp3ccz,"terça-feira, 1 de setembro de 2026 04:00",169350.0
337,1,,,32000,5,"R$ 116.835,00",Fiat,CRONOS DRIVE 1.3 8V Flex Aut.,32000,001554-7,Flex,1,F,setembro de 2026 ,gq9x7c8snvcz,"terça-feira, 1 de setembro de 2026 04:00",116835.0
337,1,,,32000,3,"R$ 269.038,00",Fiat,Ducato Cargo 2.2 Diesel (E6),32000,001563-6,Diesel,1,D,setembro de 2026 ,nhr1vsls3wj1gy,"terça-feira, 1 de setembro de 2026 04:00",269038.0
337,1,,,32000,5,"R$ 119.428,00",Fiat,Fastback 1.0 200 Turbo Flex Aut,32000,001568-7,Flex,1,F,setembro de 2026 ,gvb5xcwvcgj1hl,"terça-feira, 1 de setembro de 2026 04:00",119428.0
337,1,,,32000,5,"R$ 110.757,00",Fiat,Strada Endurance 1.3 Flex 8V CS Plus,32000,001569-5,Flex,1,F,setembro de 2026 ,gh50s8g72mj1hl,"terça-feira, 1 de setembro de 2026 04:00",110757.0
337,1,,,32000,5,"R$ 122.678,00",Fiat,Fiorino Endurance 1.3 Flex 8V 2p,32000,001589-0,Flex,1,F,setembro de 2026 ,gy49v07ddjj1hl,"terça-feira, 1 de setembro de 2026 04:00",122678.0
337,1,,,32000,5,"R$ 118.557,00",Fiat,PULSE 1.0 Turbo 200  Flex Aut.,32000,001592-0,Flex,1,F,setembro de 2026 ,gtbjht86lgj1hl,"terça-feira, 1 de setembro de 2026 04:00",118557.0
337,1,,,32000,5,"R$ 175.157,00",Toyota,Corolla XEi 2.0 Flex 16V Aut.,32000,002111-3,Flex,1,F,setembro de 2026 ,jyprwq4yfkcz,"terça-feira, 1 de setembro de 2026 04:00",175157.0
337,1,,,32000,3,"R$ 297.861,00",Toyota,Hilux CD SR 4x4 2.8 TDI Diesel Aut.,32000,002142-3,Diesel,1,D,setembro de 2026 ,plkpbvc8pxcb,"terça-feira, 1 de setembro de 2026 04:00",297861.0
337,1,,,32000,5,"R$ 192.997,00",Toyota,Corolla Cross XRE 2.0 16V Flex Aut.,32000,002203-9,Flex,1,F,setembro de 2026 ,kml56tz62bcz,"terça-feira, 1 de setembro de 2026 04:00",192997.0
337,1,,,32000,5,"R$ 105.495,00",Toyota,YARIS XL 1.5 Flex 16V 5p Aut.,32000,002207-1,Flex,1,F,setembro de 2026 ,f90rtmh5nbcz,"terça-feira, 1 de setembro de 2026 04:00",105495.0
337,1,,,32000,3,"R$ 285.741,00",Ford,TRANSIT Furgão 2.0 Medio Turbo Diesel,32000,003487-8,Diesel,1,D,setembro de 2026 ,n4b4129gddj1gy,"terça-feira, 1 de setembro de 2026 04:00",285741.0
337,1,,,32000,3,"R$ 257.272,00",Ford,Ranger XL 2.0 4x4 CD Diesel Mec. ,32000,003502-5,Diesel,1,D,setembro de 2026 ,m1zdf2sfxmj1gy,"terça-feira, 1 de setembro de 2026 04:00",257272.0
337,1,,,32000,5,"R$ 136.766,00",GM - Chevrolet,SPIN LT 1.8 8V Econo.Flex 5p Mec.,32000,004414-8,Flex,1,F,setembro de 2026 ,hhpclw0dqbcz,"terça-feira, 1 de setembro de 2026 04:00",136766.0
337,1,,,32000,5,"R$ 162.777,00",GM - Chevrolet,SPIN PREMIER 1.8 8V Econo.Flex 5p Aut.,32000,004494-6,Flex,1,F,setembro de 2026 ,jg5sncwvdjcz,"terça-feira, 1 de setembro de 2026 04:00",162777.0
337,1,,,32000,5,"R$ 118.473,00",GM - Chevrolet,ONIX SEDAN Plus LT 1.0 12V TB Flex Aut.,32000,004501-2,Flex,1,F,setembro de 2026 ,gs7gvswf46cz,"terça-feira, 1 de setembro de 2026 04:00",118473.0
337,1,,,32000,5,"R$ 95.684,00",GM - Chevrolet,ONIX HATCH LT 1.0 12V Flex 5p Mec.,32000,004517-9,Flex,1,F,setembro de 2026 ,chh6n7mst3dcz,"terça-feira, 1 de setembro de 2026 04:00",95684.0
337,1,,,32000,5,"R$ 178.985,00",GM - Chevrolet,TRACKER Premier 1.2 Turbo 12V Flex Aut.,32000,004525-0,Flex,1,F,setembro de 2026 ,j25w3mgzvkcz,"terça-feira, 1 de setembro de 2026 04:00",178985.0
337,1,,,32000,5,"R$ 153.456,00",GM - Chevrolet,MONTANA LTZ 1.2 Turbo Flex 12V 4p Aut.,32000,004541-1,Flex,1,F,setembro de 2026 ,h37z43lc42j1hl,"terça-feira, 1 de setembro de 2026 04:01",153456.0
337,1,,,32000,3,"R$ 289.822,00",GM - Chevrolet,S10 Pick-Up WT 2.8 TDI 4x4 CD Diesel Aut,32000,004550-0,Diesel,1,D,setembro de 2026 ,n84hb3q5hwj1gy,"terça-feira, 1 de setembro de 2026 04:01",289822.0
337,1,,,32000,3,"R$ 365.614,00",VW - VolksWagen,AMAROK Highline CD 3.0 4x4 TB Dies. Aut.,32000,005483-6,Diesel,1,D,setembro de 2026 ,r4z9fpp7gwcb,"terça-feira, 1 de setembro de 2026 04:01",365614.0
337,1,,,32000,5,"R$ 151.482,00",VW - VolksWagen,VIRTUS Highline 200 TSI 1.0 Flex 12V Aut,32000,005484-4,Flex,1,F,setembro de 2026 ,h1x7yfnqztcz,"terça-feira, 1 de setembro de 2026 04:01",151482.0
337,1,,,32000,5,"R$ 174.806,00",VW - VolksWagen,T-Cross Comfor. 200 TSI 1.0 Flex 5p Aut.,32000,005509-3,Flex,1,F,setembro de 2026 ,jx80dhj4x2j1hl,"terça-feira, 1 de setembro de 2026 04:01",174806.0
337,1,,,32000,5,"R$ 156.494,00",VW - VolksWagen,Nivus Highline 1.0 200 TSI Flex Aut.,32000,005526-3,Flex,1,F,setembro de 2026 ,h7td7rksrkcz,"terça-feira, 1 de setembro de 2026 04:01",156494.0
337,1,,,32000,5,"R$ 211.359,00",VW - VolksWagen,TAOS Highline 1.4 250 TSI Flex Aut.,32000,005528-0,Flex,1,F,setembro de 2026 ,k94lp2hq3kcz,"terça-feira, 1 de setembro de 2026 04:01",211359.0
337,1,,,32000,5,"R$ 91.722,00",VW - VolksWagen,Polo Track 1.0 Flex 12V 5p,32000,005540-9,Flex,1,F,setembro de 2026 ,cf0rl47hzggcz,"terça-feira, 1 de setembro de 2026 04:01",91722.0
