snapshot_date;id;marcaId;marcaDescricao;modeloFamiliaId;modeloFamiliaDescricao;modeloId;modeloDescricao;modeloDescricaoReduzida;versaoId;versaoDescricao;corId;corDescricao;tipoTransmissaoId;categoriaId;categoriaDescricao;tipoTransmissaoDescricao;tipoCombustivelId;tipoCombustivelDescricao;anoModelo;anoFabricacao;odometro;preco;precoDe;desconto;cidadeId;cidadeDescricao;siglaEstado;siglaLoja;fotoUrl;pdpUrl;temFoto360;selo;maisProcurado;origem;selos;premium;blindado;type;brand;model;version_raw;manufacture_year;model_year;price;fuel;transmission;version;_brand_norm;_model_norm;_version_norm;fipe_brand;fipe_model;fipe_code;match_score;match_source;first_seen;last_seen;match_accepted
2025-10-15;284219;10;HYUNDAI;46;HB20S;3139;HB20S COMFORT PLUS TGDI FLEX AT 1.0;COMFORT PLUS TGDI FLEX 1.0 AUTOMATICO;1;LONGITUDE;1345;PRETO ONIX;8;11;SEDAN;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;46715;88490;94390.0;5900.0;901;APARECIDA DE GOIÂNIA;GO;VCJMC;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284219/hyundai-hb20s-comfort-plus-tgdi-flex-at-10-2024-preto-automatico-seminovo-284219-5826d9cb-6f52-474c-a561-bde545ac6d2a-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-tgdi-flex-10-automatico-284219;True;True;True;1;[];;;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;flex;aut.;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.;hyundai;hb20s;hb20s comfortline plus tgdi flex aut 1.0;hyundai;hb20s comfort plus 1.0 tb flex 12v aut;015240-4;0.8146;contains;2025-12-19;2025-12-19;1
2025-10-15;284224;10;HYUNDAI;30;HB20;3147;HB20 COMFORT PLUS FLEX 1.0;COMFORT PLUS FLEX 1.0 MANUAL;1;LONGITUDE;1193;PRATA SAND;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2024;2023;45650;71490;74190.0;2700.0;2918;RECIFE;PE;VCREC;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284224/hyundai-hb20-comfort-plus-flex-10-2024-prata-manual-seminovo-284224-c8d90a2a-177a-4dc0-afed-816fa763724e-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20-comfort-plus-flex-10-manual-284224;True;True;True;1;[];;;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2023;2024;71490;flex;mec.;HB20 COMFORT PLUS FLEX 1.0 flex mec.;hyundai;hb20;hb20 comfortline plus flex 1.0 mec;hyundai;hb20 comfort plus 1.0 flex 12v mec.;015245-5;0.9412;contains;2025-12-19;2025-12-19;1
2025-10-15;284250;3;FIAT;29;FIORINO;4474;FIORINO ENDURANCE 1.4 EVO FLEX 2P C/AR;ENDURANCE 1.4 EVO FLEX MANUAL;1;LONGITUDE;451;BRANCO BANCHISA;2;31;FURGAO;MANUAL;4;GASOLINA/ETANOL;2024;2023;43175;89990;98990.0;9000.0;5333;SÃO BERNARDO DO CAMPO;SP;VCSBR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284250/fiat-fiorino-endurance-14-evo-flex-2p-car-2024-branco-manual-seminovo-284250-3fe1931d-98fa-4385-935a-e9d7a5861794-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/fiat-fiorino-endurance-14-evo-flex-manual-284250;True;True;True;1;[];;;utilitario;fiat;fiorino;fiorino endurance 1.4 evo flex 2p c/ar;2023;2024;89990;flex;mec.;FIORINO ENDURANCE 1.4 EVO FLEX 2P C/AR flex mec.;fiat;fiorino;fiorino endurance 1.4 evo flex mec;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8456;contains;2025-12-19;2025-12-19;1
2025-10-15;284340;7;CHEVROLET;4;ONIX;3696;ONIX PLUS LT 1.0 12V FLEX 4P C/AR;PLUS LT 1.0 12V FLEX MANUAL;1;LONGITUDE;530;BRANCO SUMMIT;2;11;SEDAN;MANUAL;4;GASOLINA/ETANOL;2024;2023;46840;74490;77590.0;3100.0;804;BRASÍLIA;DF;VCBSB;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284340/general-motors-onix-plus-lt-10-12v-flex-4p-car-2024-branco-manual-seminovo-284340-50b45b26-fa34-437f-bf14-a7ebffe7b66b-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-onix-plus-lt-10-12v-flex-manual-284340;;True;True;1;[];;;sedan;chevrolet;onix;onix plus lt 1.0 12v flex 4p c/ar;2023;2024;74490;flex;mec.;onix sedan plus LT 1.0 12V FLEX 4P C/AR flex mec.;chevrolet;onix;onix sedan plus lt 1.0 12v flex mec;gm - chevrolet;onix sedan plus lt 1.0 12v flex 4p mec.;004518-7;1.0;contains;2025-12-19;2025-12-19;1
2025-10-15;284522;10;HYUNDAI;46;HB20S;3139;HB20S COMFORT PLUS TGDI FLEX AT 1.0;COMFORT PLUS TGDI FLEX 1.0 AUTOMATICO;1;LONGITUDE;799;CINZA SILK;8;11;SEDAN;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;46233;88490;92190.0;3700.0;4805;AMERICANA;SP;VCAMC;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284522/hyundai-hb20s-comfort-plus-tgdi-flex-at-10-2024-cinza-automatico-seminovo-284522-9d2512ba-21ee-41f3-b583-fcb64ae26957-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/hyundai-hb20s-comfort-plus-tgdi-flex-10-automatico-284522;True;True;True;1;[];;;sedan;hyundai;hb20s;hb20s comfort plus tgdi flex at 1.0;2023;2024;88490;flex;aut.;HB20S COMFORT PLUS TGDI FLEX AT 1.0 flex aut.;hyundai;hb20s;hb20s comfortline plus tgdi flex aut 1.0;hyundai;hb20s comfort plus 1.0 tb flex 12v aut;015240-4;0.8146;contains;2025-12-19;2025-12-19;1
2025-10-15;284637;7;CHEVROLET;39;TRACKER;10043;TRACKER LT 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO;LT 1.0 12V TURBO FLEX AUTOMATICO;1;LONGITUDE;3423;CINZA RUSH;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;46330;104990;110890.0;5900.0;4555;JOINVILLE;SC;VCJLE;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284637/general-motors-tracker-lt-10-12v-turbo-flex-4p-car--automtico-2024-cinza-automatico-seminovo-284637-326648fe-edbf-48d4-b5e3-2a7606f79452-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/chevrolet-tracker-lt-10-12v-turbo-flex-automatico-284637;;True;True;1;[];;;suv;chevrolet;tracker;tracker lt 1.0 12v turbo flex 4p c/ar - automático;2023;2024;104990;flex;aut.;TRACKER LT 1.0 12V TURBO FLEX 4P C/AR - AUTOMÁTICO flex aut.;chevrolet;tracker;tracker lt 1.0 12v turbo flex aut;gm - chevrolet;tracker lt 1.0 turbo 12v flex aut.;004522-5;0.9394;contains;2025-12-19;2025-12-19;1
2025-10-15;284651;3;FIAT;24;STRADA;3151;STRADA ENDURANCE CP FLEX 1.3;ENDURANCE CP FLEX 1.3 MANUAL;1;LONGITUDE;802;CINZA SILVERSTONE;2;14;PICK-UP;MANUAL;4;GASOLINA/ETANOL;2024;2023;45897;79990;84090.0;4100.0;3661;RIO DE JANEIRO;RJ;VCCGD;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284651/fiat-strada-endurance-cp-flex-13-2024-cinza-manual-seminovo-284651-be46fad6-21e2-4928-b247-708b653d80c3-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/fiat-strada-endurance-cp-flex-13-manual-284651;True;True;True;1;[];;;pick-up;fiat;strada;strada endurance cp flex 1.3;2023;2024;79990;flex;mec.;STRADA ENDURANCE CP FLEX 1.3 flex mec.;fiat;strada;strada endurance cs plus flex 1.3 mec;fiat;strada endurance 1.3 flex 8v cs plus;001569-5;0.7912;contains;2025-12-19;2025-12-19;1
2025-10-15;284769;3;FIAT;29;FIORINO;4474;FIORINO ENDURANCE 1.4 EVO FLEX 2P C/AR;ENDURANCE 1.4 EVO FLEX MANUAL;1;LONGITUDE;451;BRANCO BANCHISA;2;31;FURGAO;MANUAL;4;GASOLINA/ETANOL;2024;2023;40011;89990;98490.0;8500.0;4895;CAMPINAS;SP;VCCPN;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284769/fiat-fiorino-endurance-14-evo-flex-2p-car-2024-branco-manual-seminovo-284769-9b1b874a-7b27-4626-98c7-d12760e84314-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/fiat-fiorino-endurance-14-evo-flex-manual-284769;True;True;;1;[];;;utilitario;fiat;fiorino;fiorino endurance 1.4 evo flex 2p c/ar;2023;2024;89990;flex;mec.;FIORINO ENDURANCE 1.4 EVO FLEX 2P C/AR flex mec.;fiat;fiorino;fiorino endurance 1.4 evo flex mec;fiat;fiorino endurance evo 1.4 flex 8v 2p;001531-8;0.8456;contains;2025-12-19;2025-12-19;1
2025-10-15;284790;2;VOLKSWAGEN;41;POLO;4837;POLO TRACK 1.0 12V FLEX 4P C/AR - SM;TRACK 1.0 12V FLEX - SM MANUAL;1;LONGITUDE;470;BRANCO CRISTAL;2;10;HATCH;MANUAL;4;GASOLINA/ETANOL;2024;2024;46645;70490;72290.0;1800.0;5370;SOROCABA;SP;VCSOR;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284790/volkswagen-polo-track-10-12v-flex-4p-car--sm-2024-branco-manual-seminovo-284790-78336aba-c926-40b3-914e-332c8ad26762-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-polo-track-10-12v-flex-sm-manual-284790;;True;True;1;[];;;hatch;volkswagen;polo;polo track 1.0 12v flex 4p c/ar - sm;2024;2024;70490;flex;mec.;POLO TRACK 1.0 12V FLEX 4P C/AR - SM flex mec.;volkswagen;polo;polo track 1.0 12v flex sm mec;vw - volkswagen;polo track 1.0 flex 12v 5p;005540-9;0.7702;contains;2025-12-19;2025-12-19;1
2025-10-15;284797;2;VOLKSWAGEN;33;NIVUS;4627;NIVUS HIGHLINE 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO;HIGHLINE 1.0 200 TSI 12V TOTAL FLEX AUTOMATICO;1;LONGITUDE;731;CINZA MOONSTONE;8;9;SUV;AUTOMATICO;4;GASOLINA/ETANOL;2024;2023;47028;116990;120790.0;3800.0;5351;SÃO PAULO;SP;VCRJF;https://cdn-site-seminovos.localiza.com/prd/site/anuncio/284797/volkswagen-nivus-highline-10-200-tsi-12v-total-flex-4p-car--automtico-2024-cinza-automatico-seminovo-284797-215da74d-de73-4b2c-9251-bb1b3e0af042-1-thumb.webp;https://seminovos.localiza.com/detalhes-carro/volkswagen-nivus-highline-10-200-tsi-12v-total-flex-automatico-284797;True;True;True;1;[];;;suv;volkswagen;nivus;nivus highline 1.0 200 tsi 12v total flex 4p c/ar - automático;2023;2024;116990;flex;aut.;NIVUS HIGHLINE 1.0 200 TSI 12V TOTAL FLEX 4P C/AR - AUTOMÁTICO flex aut.;volkswagen;nivus;nivus highline 1.0 200 tsi 12v total flex aut;vw - volkswagen;nivus highline 1.0 200 tsi flex aut.;005526-3;0.8556;contains;2025-12-19;2025-12-19;1
